"統一編號","商業名稱","商業地址","登記狀態"
"14800897","日成寵物用品店","臺中市豐原區社皮里成功路２９９號","歇業／撤銷"
"14810641","吉利寵物店","新竹縣竹北市竹仁里中正東路１０３號１樓","核准設立"
"14814766","美嘉寵物店","新竹縣湖口鄉信勢村信全街３２號１樓","歇業／撤銷"
"14834833","皇家博美犬莊","高雄市左營區新下里新莊１路１７３號","歇業／撤銷"
"14871935","璞玉企業社","新北市板橋區民權路２５８之２號","歇業／撤銷"
"14873286","輝鴻山鳥園","新北市泰山區明志路１段３４２號","核准設立"
"14873440","富川犬貓用品商行","新北市板橋區林園街２２號","核准設立"
"14877179","翔楓寵物店","新北市中和區中和路１７６號（１樓）","歇業／撤銷"
"14877425","貓的世界貓咪專賣店","新北市板橋區四川路１段６號１樓","歇業／撤銷"
"14878938","幸福寵物用品社","新北市新莊區幸福路５７０號","核准設立"
"14884066","春天寵物店","新北市三重區仁愛街４９３號１樓","歇業／撤銷"
"14885635","寵物俱樂部犬舍","新北市新莊區中港路４９７號","核准設立"
"14902894","一０一犬貓生活精品","宜蘭縣羅東鎮南門路182號一樓","核准設立"
"14941101","東亞犬舍","桃園市桃園區青溪里中央街１２２號１樓","核准設立"
"14942306","優格寵物坊","桃園市中壢區東興里中北路２段１９０號１樓","歇業／撤銷"
"14957362","長利企業社","桃園市中壢區興國里新生路１４９號１樓","歇業／撤銷"
"14961339","沛洛特寵物商行","臺中市南區樹義里福田路９１號一樓","歇業／撤銷"
"14961703","鑫貴賓寵物店","臺中市北屯區水湳里中清路１３之３０號一樓","停業"
"14964568","旺畎寵物犬舍","臺中市北區明德里太原二街２０號１、３樓","核准設立"
"14977347","野趣昆蟲生態店","臺中市北屯區平和里瀋陽路二段１５０號一樓","歇業／撤銷"
"14979008","貴族寵物坊","臺中市東區東英里十甲東路８２２號","核准設立"
"14981193","妮的貓舖子","臺南市歸仁區許厝里信義南路42號","歇業／撤銷"
"14989478","愛樂寵物生活館","臺南市永康區大橋里中華路704號1樓","歇業／撤銷"
"14992071","奇美寵物店","臺南市永康區五王里中華路364號1樓","歇業／撤銷"
"15541617","迷你商行","新北市永和區永貞路５１號１樓","歇業／撤銷"
